Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,68.760002,69.489998,68.269997,68.529999,65.338158,133300
2016-10-05,68.779999,70.730003,68.440002,69.940002,66.682487,272800
2016-10-06,69.779999,70.519997,69.129997,70.309998,67.035240,179600
2016-10-07,70.209999,70.209999,68.400002,68.660004,65.462105,208700
2016-10-10,69.010002,70.059998,68.970001,69.980003,66.720634,313900
2016-10-11,69.540001,69.540001,67.000000,67.339996,64.203568,165500
2016-10-12,67.320000,68.050003,66.830002,67.459999,64.318001,217000
2016-10-13,66.639999,66.930000,65.889999,66.480003,63.383633,124500
2016-10-14,66.889999,67.379997,65.760002,65.820000,62.754368,152500
2016-10-17,65.699997,66.160004,65.180000,65.949997,62.878315,254200
2016-10-18,66.750000,66.750000,65.720001,66.150002,63.069008,179600
2016-10-19,66.269997,66.599998,65.900002,66.099998,63.021317,218700
2016-10-20,65.550003,66.099998,64.760002,64.900002,61.877239,204300
2016-10-21,64.190002,66.139999,64.000000,65.709999,62.649490,240300
2016-10-24,66.730003,66.830002,65.620003,66.599998,63.498051,135900
2016-10-25,66.480003,66.599998,64.550003,64.699997,61.686535,172700
2016-10-26,64.320000,65.459999,64.300003,64.610001,61.600727,254300
2016-10-27,64.370003,64.589996,63.840000,64.010002,61.028687,169600
2016-10-28,63.910000,65.019997,63.599998,64.470001,61.467251,174300
2016-10-31,64.669998,65.349998,64.379997,65.129997,62.096512,189900
2016-11-01,65.339996,65.669998,63.099998,63.259998,60.313599,137500
2016-11-02,63.110001,64.040001,63.110001,63.540001,60.580563,146500
2016-11-03,63.720001,64.260002,63.529999,63.900002,60.923798,133200
2016-11-04,64.269997,65.870003,63.799999,64.480003,61.476799,279200
2016-11-07,66.160004,66.239998,65.239998,65.709999,62.649490,204200
2016-11-08,65.629997,66.410004,65.309998,66.000000,62.925991,144500
2016-11-09,65.330002,68.440002,64.410004,67.750000,64.594475,406500
2016-11-10,71.839996,76.269997,70.010002,72.639999,69.256737,930600
2016-11-11,72.970001,74.080002,72.769997,73.919998,70.477119,946200
2016-11-14,74.910004,78.040001,74.800003,78.010002,74.376625,326900
2016-11-15,77.790001,77.849998,76.400002,77.610001,73.995262,278900
2016-11-16,77.290001,77.610001,76.930000,77.139999,73.547134,227500
2016-11-17,77.500000,77.620003,76.589996,76.989998,73.404099,285100
2016-11-18,77.019997,78.129997,76.180000,78.110001,74.471962,430700
2016-11-21,78.339996,79.199997,78.150002,79.160004,75.473068,235600
2016-11-22,79.500000,79.580002,78.070000,79.019997,75.339577,494100
2016-11-23,78.870003,79.169998,78.459999,79.000000,75.320496,197800
2016-11-25,78.989998,79.120003,78.650002,78.970001,75.291901,101100
2016-11-28,78.860001,79.099998,78.449997,78.760002,75.091682,181400
2016-11-29,78.690002,79.510002,78.139999,79.110001,75.425377,151000
2016-11-30,79.769997,80.400002,79.050003,79.580002,75.873489,332500
2016-12-01,79.930000,80.730003,77.980003,78.339996,74.691261,403800
2016-12-02,78.290001,78.290001,77.540001,77.620003,74.004768,239600
2016-12-05,78.559998,80.279999,78.309998,80.169998,76.436005,276100
2016-12-06,80.620003,80.629997,79.480003,80.040001,76.312080,277800
2016-12-07,80.160004,81.820000,79.370003,81.610001,77.808945,197400
2016-12-08,81.769997,83.080002,80.830002,82.589996,78.743286,442400
2016-12-09,82.870003,83.000000,81.959999,82.519997,78.676559,261700
