Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,75.400002,77.169998,75.400002,76.589996,71.033516,2962000
2016-10-05,77.150002,78.190002,76.809998,77.750000,72.109383,2111300
2016-10-06,78.180000,79.419998,77.709999,79.339996,73.584023,2603900
2016-10-07,79.360001,79.570000,77.629997,79.370003,73.611862,2984800
2016-10-10,79.779999,81.190002,79.610001,80.150002,74.335251,2327500
2016-10-11,80.709999,82.279999,78.660004,79.430000,73.667480,5012700
2016-10-12,79.459999,79.510002,78.150002,78.820000,73.101738,2056100
2016-10-13,77.980003,78.029999,76.199997,77.410004,71.794044,2204700
2016-10-14,77.860001,79.489998,77.440002,77.629997,71.998070,2067900
2016-10-17,77.629997,78.139999,76.480003,76.699997,71.135544,1726900
2016-10-18,78.099998,78.370003,77.529999,77.650002,72.016624,1112200
2016-10-19,77.190002,78.029999,76.769997,77.910004,72.257774,1071900
2016-10-20,77.720001,78.500000,77.050003,78.089996,72.424698,1264700
2016-10-21,77.750000,78.089996,76.870003,77.470001,71.849693,1900500
2016-10-24,78.010002,79.190002,78.010002,78.489998,72.795677,1728000
2016-10-25,78.180000,79.139999,77.910004,78.080002,72.415421,1669600
2016-10-26,77.440002,78.690002,77.190002,77.540001,71.914612,2190400
2016-10-27,78.180000,78.580002,77.050003,77.260002,71.654938,1460700
2016-10-28,77.910004,77.989998,75.620003,75.720001,70.226662,2715600
2016-10-31,75.949997,77.260002,75.019997,76.940002,71.358147,1886400
2016-11-01,76.919998,77.760002,74.760002,75.809998,70.310120,1782700
2016-11-02,75.650002,76.370003,74.820000,75.029999,69.586708,1681800
2016-11-03,74.650002,76.820000,74.389999,74.669998,69.252831,3566700
2016-11-04,72.599998,76.860001,72.500000,75.070000,69.623810,5718600
2016-11-07,76.669998,77.300003,75.300003,77.239998,71.636360,2703100
2016-11-08,76.860001,78.019997,76.010002,77.330002,71.719856,2208800
2016-11-09,74.790001,78.239998,74.500000,77.660004,72.025902,3458000
2016-11-10,77.889999,79.489998,74.769997,75.910004,70.402878,3267500
2016-11-11,76.000000,77.889999,74.199997,74.510002,69.104416,4015000
2016-11-14,74.790001,74.820000,73.589996,74.040001,68.668533,2614900
2016-11-15,74.180000,76.250000,73.720001,75.930000,70.688759,2101100
2016-11-16,75.360001,76.480003,75.000000,76.120003,70.865631,1630800
2016-11-17,76.150002,77.970001,75.690002,77.949997,72.569290,1616800
2016-11-18,77.820000,78.940002,76.919998,78.209999,72.811371,2190000
2016-11-21,78.459999,79.129997,78.199997,78.930000,73.481659,1526900
2016-11-22,79.389999,80.139999,78.989998,79.360001,73.881989,1218500
2016-11-23,79.209999,79.510002,78.019997,78.309998,72.904457,1585100
2016-11-25,78.269997,78.309998,76.489998,77.010002,71.694176,1174700
2016-11-28,77.059998,77.839996,75.820000,77.300003,71.964180,1807000
2016-11-29,77.089996,77.720001,76.279999,77.220001,71.889687,1721700
2016-11-30,77.489998,77.790001,76.440002,76.849998,71.545235,1595400
2016-12-01,76.919998,77.070000,71.650002,71.779999,66.825211,4086900
2016-12-02,71.690002,73.440002,71.650002,73.339996,68.277512,1927100
2016-12-05,73.720001,74.980003,73.489998,74.820000,69.655373,2899600
2016-12-06,75.330002,76.550003,74.820000,76.169998,70.912170,3299000
2016-12-07,75.779999,77.660004,74.250000,77.339996,72.001404,2471500
2016-12-08,77.300003,79.739998,76.980003,79.519997,74.030930,2716800
