Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,64.209999,64.930000,63.980000,64.239998,58.066319,1571300
2016-10-05,64.480003,65.180000,63.799999,64.680000,58.464039,2089100
2016-10-06,64.599998,64.830002,64.040001,64.739998,58.518272,1355300
2016-10-07,64.620003,64.620003,63.740002,64.419998,58.229027,1851900
2016-10-10,64.779999,64.879997,63.340000,63.349998,57.261852,2117300
2016-10-11,63.310001,63.650002,61.639999,62.099998,56.131989,3533100
2016-10-12,62.150002,62.160000,60.700001,61.189999,55.309441,3305100
2016-10-13,60.799999,60.860001,59.540001,60.709999,54.875565,3570700
2016-10-14,61.110001,62.709999,60.970001,62.060001,56.095837,3834700
2016-10-17,61.650002,62.290001,61.330002,61.700001,55.770428,2475900
2016-10-18,62.330002,62.840000,62.020000,62.139999,56.168140,2759200
2016-10-19,61.840000,62.070000,61.270000,61.910000,55.960251,1380400
2016-10-20,62.279999,63.680000,61.669998,63.470001,57.370319,4556300
2016-10-21,63.130001,63.330002,62.220001,62.910000,56.864147,1827100
2016-10-24,63.529999,64.050003,63.439999,64.019997,57.867466,1316300
2016-10-25,64.019997,64.260002,63.740002,64.059998,57.903625,3078000
2016-10-26,63.570000,63.750000,63.099998,63.439999,57.343201,2576100
2016-10-27,63.869999,64.160004,63.060001,63.270000,57.189548,2067200
2016-10-28,63.450001,64.290001,63.349998,63.529999,57.424561,2412200
2016-10-31,64.040001,64.440002,63.740002,64.099998,57.939777,2175500
2016-11-01,64.400002,64.400002,62.840000,63.599998,57.487827,3643400
2016-11-02,63.790001,64.180000,63.400002,63.660000,57.542061,2359000
2016-11-03,63.750000,64.029999,63.340000,63.849998,57.713799,2329000
2016-11-04,62.889999,64.019997,62.889999,63.430000,57.334179,2136500
2016-11-07,64.529999,64.550003,63.959999,64.360001,58.174801,2982700
2016-11-08,64.080002,65.400002,63.709999,64.849998,58.617710,2224500
2016-11-09,63.080002,65.290001,62.500000,64.970001,58.726185,2448800
2016-11-10,65.209999,65.970001,63.450001,64.250000,58.075356,2189000
2016-11-11,64.290001,65.440002,64.110001,65.320000,59.042534,2172200
2016-11-14,65.419998,66.830002,65.330002,66.459999,60.072971,4326300
2016-11-15,66.730003,68.489998,66.470001,68.209999,61.654800,3345000
2016-11-16,68.139999,68.500000,67.680000,67.879997,61.356510,3532300
2016-11-17,67.889999,68.320000,67.379997,68.209999,61.654800,1610800
2016-11-18,67.919998,68.580002,67.620003,68.470001,61.889809,1580100
2016-11-21,68.750000,69.910004,68.709999,69.820000,63.110081,3583500
2016-11-22,73.050003,74.870003,72.519997,72.889999,65.885033,7844300
2016-11-23,73.669998,74.110001,72.610001,73.589996,66.517761,5922900
2016-11-25,73.449997,74.320000,72.910004,74.199997,67.069122,1998300
2016-11-28,74.010002,74.459999,73.529999,74.160004,67.032974,3126700
2016-11-29,74.169998,74.860001,73.449997,74.529999,67.367424,2918000
2016-11-30,74.360001,74.750000,73.620003,74.239998,67.485596,3803300
2016-12-01,73.559998,74.180000,68.669998,69.010002,62.731426,5518200
2016-12-02,68.660004,70.260002,68.419998,70.110001,63.731342,3248100
2016-12-05,70.839996,71.230003,70.150002,70.599998,64.176765,2445000
2016-12-06,71.019997,71.500000,70.260002,71.000000,64.540367,2196800
2016-12-07,70.980003,72.959999,70.519997,72.940002,66.303864,2648400
2016-12-08,72.989998,74.250000,72.750000,73.879997,67.158356,2153600
2016-12-09,74.540001,74.820000,72.489998,73.139999,66.485687,2106700
2016-12-12,72.849998,73.260002,72.199997,72.900002,66.267502,2194600
2016-12-13,73.110001,73.730003,72.790001,73.099998,66.449318,2171900
2016-12-14,73.230003,73.430000,72.290001,72.540001,65.940262,2482200
2016-12-15,72.809998,73.940002,72.540001,73.610001,66.912910,2165700
2016-12-16,73.769997,74.000000,71.970001,72.089996,65.531189,5131300
2016-12-19,72.410004,73.000000,72.150002,72.809998,66.185692,1947700
2016-12-20,72.919998,73.589996,72.809998,73.400002,66.722015,1729600
2016-12-21,73.690002,74.290001,73.269997,73.599998,66.903824,1868000
2016-12-22,73.889999,73.949997,73.010002,73.449997,66.767456,1680600
2016-12-23,73.370003,73.870003,73.339996,73.839996,67.121986,1229100
2016-12-27,73.809998,74.620003,73.809998,74.309998,67.549240,897000
2016-12-28,74.540001,74.599998,73.529999,73.559998,66.867462,1851000
2016-12-29,73.379997,73.879997,73.230003,73.580002,66.885635,1331000
2016-12-30,73.800003,74.019997,72.389999,72.620003,66.013000,1758500
2017-01-03,72.599998,74.129997,72.089996,72.510002,65.913002,2687200
2017-01-04,72.769997,73.029999,72.250000,72.360001,65.776634,1971000
2017-01-05,72.410004,72.610001,71.279999,71.320000,64.831253,2067300
2017-01-06,71.580002,71.949997,71.000000,71.599998,65.085785,2069700
2017-01-09,71.639999,72.510002,71.519997,71.940002,65.394867,2399500
2017-01-10,71.870003,72.510002,71.849998,72.349998,65.767540,2403200
2017-01-11,72.269997,72.660004,72.070000,72.620003,66.013000,1580900
2017-01-12,72.419998,72.419998,71.000000,72.220001,65.649368,2099200
2017-01-13,72.360001,72.879997,72.110001,72.669998,66.058426,1509100
2017-01-17,72.230003,73.410004,71.849998,72.279999,65.703911,2374600
2017-01-18,72.639999,73.629997,72.220001,73.010002,66.367508,2107100
2017-01-19,72.879997,73.389999,72.290001,72.440002,65.849365,1988200
2017-01-20,72.089996,73.650002,72.089996,72.879997,66.249344,1811600
2017-01-23,72.739998,73.239998,72.410004,72.779999,66.158424,2205600
2017-01-24,73.010002,73.680000,72.559998,73.510002,66.822029,3312900
2017-01-25,74.690002,75.589996,74.510002,74.540001,67.758308,3944300
2017-01-26,74.370003,74.540001,73.769997,74.199997,67.449219,4172100
2017-01-27,74.550003,76.940002,74.250000,76.930000,69.930847,3820600
2017-01-30,76.760002,76.760002,75.230003,76.279999,69.340004,2476300
2017-01-31,76.139999,76.190002,74.599998,74.940002,68.121895,2609900
2017-02-01,75.760002,76.730003,75.419998,76.169998,69.240013,2588600
2017-02-02,75.660004,76.029999,75.139999,75.230003,68.385529,2490000
2017-02-03,75.519997,75.730003,75.260002,75.519997,68.649139,2143100
2017-02-06,75.650002,75.650002,74.940002,75.529999,68.658226,1789200
2017-02-07,75.690002,76.580002,75.389999,76.309998,69.367256,2136100
2017-02-08,77.000000,77.750000,76.779999,77.480003,70.430824,3397800
2017-02-09,77.769997,77.769997,76.480003,76.510002,69.549065,2192300
2017-02-10,76.779999,76.779999,75.540001,76.529999,69.567253,1667900
2017-02-13,77.010002,78.029999,76.809998,77.919998,70.830772,2637600
2017-02-14,77.839996,77.970001,77.070000,77.839996,70.758057,2589600
2017-02-15,80.800003,81.629997,77.959999,81.599998,74.175957,7032700
2017-02-16,81.000000,82.570000,80.750000,81.970001,74.512314,3465000
2017-02-17,81.800003,82.500000,81.480003,82.480003,74.975914,2933200
2017-02-21,82.500000,82.870003,81.989998,82.820000,75.284988,2375600
2017-02-22,82.309998,82.389999,81.519997,82.059998,75.001648,3679500
2017-02-23,82.150002,82.160004,81.029999,81.610001,74.590378,2277500
2017-02-24,80.970001,81.699997,80.820000,81.680000,74.654343,2841100
2017-02-27,81.650002,82.430000,81.239998,82.279999,75.202721,1793100
2017-02-28,82.180000,82.239998,81.580002,81.930000,74.882828,2045400
2017-03-01,82.449997,83.790001,82.150002,83.760002,76.555397,2265100
2017-03-02,83.389999,84.080002,83.040001,83.650002,76.454895,2714300
2017-03-03,83.620003,83.650002,83.040001,83.180000,76.025307,2357200
2017-03-06,83.000000,84.239998,82.349998,83.849998,76.637665,3717400
2017-03-07,83.699997,84.169998,83.209999,83.410004,76.235535,2892700
2017-03-08,83.769997,83.849998,83.180000,83.480003,76.299515,2381400
2017-03-09,83.379997,83.660004,82.800003,83.169998,76.016182,2005300
2017-03-10,83.870003,83.870003,82.029999,82.199997,75.129601,7495200
2017-03-13,82.150002,82.989998,82.050003,82.760002,75.641418,4873800
2017-03-14,82.519997,83.730003,82.400002,83.680000,76.482307,4881100
2017-03-15,83.449997,83.669998,82.559998,83.510002,76.326935,4499200
2017-03-16,83.290001,83.500000,82.410004,82.720001,75.604881,4107700
2017-03-17,83.309998,83.339996,82.730003,83.260002,76.098434,4184000
2017-03-20,83.260002,83.699997,82.879997,82.900002,75.769409,2714000
2017-03-21,83.250000,83.459999,81.690002,81.800003,74.764015,3316600
2017-03-22,81.839996,82.260002,81.650002,82.120003,75.056488,2604300
2017-03-23,82.239998,82.330002,81.309998,81.540001,74.526382,3395000
2017-03-24,81.860001,82.949997,81.400002,81.639999,74.617767,2223500
